filepath,class,label
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2931.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1139.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3908.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4910.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4403.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1169.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4646.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\381.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3400.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1079.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3121.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5107.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1225.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\506.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4672.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3731.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2773.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2398.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1353.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4516.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3763.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\821.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4098.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\268.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5055.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5423.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4157.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\190.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1196.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3481.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5929.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5682.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3226.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1710.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3386.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1322.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2348.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2607.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2713.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5341.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1279.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4394.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\687.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2635.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4280.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1828.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3512.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\826.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1410.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4323.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3181.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5501.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4215.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\366.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4946.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\284.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4513.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\622.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3589.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3155.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5435.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\837.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1099.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3294.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4944.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1513.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4313.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3065.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\686.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1698.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4561.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2962.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2114.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1651.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2832.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5585.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2271.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5153.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\452.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1283.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4270.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4689.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4062.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2248.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4675.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4814.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1493.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3898.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2212.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2202.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1587.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4529.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\6274.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4701.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5021.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3304.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4062.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\388.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5311.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\6006.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2283.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5417.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1852.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5459.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2229.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2499.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2021.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1472.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5413.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2716.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4863.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5089.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2265.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2561.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\632.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5203.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1949.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5375.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1830.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1240.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2954.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4911.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\620.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1172.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2079.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3798.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5611.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\41.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\438.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1811.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\572.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\768.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\118.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1261.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2088.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2218.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\383.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3220.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\654.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1359.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3271.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\148.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\918.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3671.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3882.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\573.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1506.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4551.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\725.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4909.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\6110.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5507.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4952.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4184.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5110.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5751.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4702.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4458.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\6037.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\244.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\25.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1838.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5067.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2323.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2272.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4975.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1686.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2058.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3829.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2317.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3441.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2170.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1317.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5188.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4961.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2231.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3108.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5448.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1018.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5429.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2786.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\540.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4535.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2816.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2204.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\2071.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1778.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\595.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4029.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4443.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3536.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1716.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4064.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3701.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5870.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3667.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5187.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\341.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\4977.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\942.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\2484.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5014.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\4486.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\5293.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\3700.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5292.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3713.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1261.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\81.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\170.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\1320.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\5699.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\752.jpg,Malignant,1
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1079.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\1311.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Benign\856.jpg,Benign,0
D:/university/summer 26/Data Mining/research project/archive\train\Malignant\3621.jpg,Malignant,1
