Class,Filename,Width,Height,Aspect_Ratio,Brightness_Mean,Brightness_Std,Red_Mean,Green_Mean,Blue_Mean,Red_Std,Green_Std,Blue_Std
Benign,1012.jpg,224,224,1.0,156.5852,32.44599,193.8463,128.87924,147.03008,14.622125,17.976019,19.338388
Benign,1013.jpg,224,224,1.0,160.3083,47.074932,219.4401,122.07418,139.41061,13.961032,21.245033,24.632408
Benign,1014.jpg,224,224,1.0,180.05713,45.861053,235.6812,148.28201,156.2082,16.093493,24.119638,28.222055
Benign,1015.jpg,224,224,1.0,186.93079,35.63486,220.88782,169.73132,170.17323,19.48582,27.561007,30.667688
Benign,1016.jpg,224,224,1.0,160.26147,46.72137,209.93599,126.09339,144.75507,17.736843,33.429676,35.22863
Benign,1017.jpg,224,224,1.0,162.33578,54.93512,174.35388,146.42899,166.2245,45.51873,51.58483,62.51456
Benign,1018.jpg,224,224,1.0,160.53876,48.46251,213.12137,132.48172,136.01317,23.21421,31.47084,36.917454
Benign,1019.jpg,224,224,1.0,168.51804,41.42007,220.20592,143.6399,141.70831,12.444888,21.670794,22.65055
Benign,102.jpg,224,224,1.0,160.75478,55.965973,204.73595,132.82654,144.70189,39.0069,48.679024,50.332478
Benign,1020.jpg,224,224,1.0,171.69704,33.355824,177.74594,163.18225,174.16295,27.886024,33.369747,36.489613
Benign,1021.jpg,224,224,1.0,180.93857,45.53839,234.80255,152.88992,155.12318,13.806825,25.595425,31.952963
Benign,1022.jpg,224,224,1.0,124.39384,52.52619,186.66368,89.97459,96.54323,24.309414,29.679953,31.101133
Benign,1023.jpg,224,224,1.0,146.15976,56.352375,213.68935,110.822365,113.96755,19.12789,30.958143,36.839825
Benign,1024.jpg,224,224,1.0,126.47855,44.767693,184.65768,87.873344,106.90463,9.918333,17.50843,18.687134
Benign,1025.jpg,224,224,1.0,151.91533,37.896988,164.8272,141.15408,149.76471,32.260506,34.646416,42.193424
Benign,1026.jpg,224,224,1.0,160.9604,57.17033,212.75308,138.15831,131.9698,36.689514,46.88945,47.09273
Benign,1027.jpg,224,224,1.0,150.18846,44.11916,203.67166,116.59459,130.2991,15.437395,23.7686,25.52753
Benign,1028.jpg,224,224,1.0,164.05885,44.661236,209.84557,134.83601,147.49496,21.667267,30.909546,36.52736
Benign,1029.jpg,224,224,1.0,160.66628,54.092083,206.12459,131.23679,144.63745,36.638542,43.37797,48.624622
Benign,103.jpg,224,224,1.0,180.37328,44.580498,235.18495,155.81503,150.11981,11.47319,21.129642,29.350775
Benign,1030.jpg,224,224,1.0,204.2867,48.40021,211.48218,192.02951,209.34837,46.952106,48.62315,47.23766
Benign,1031.jpg,224,224,1.0,156.57314,43.7341,206.72374,124.82719,138.16847,16.423956,26.330101,30.222092
Benign,1032.jpg,224,224,1.0,153.03577,42.009354,207.06244,126.051956,125.99288,11.995915,19.459518,19.835772
Benign,1033.jpg,224,224,1.0,181.65775,51.257084,240.07605,151.93152,152.96567,14.266642,34.010616,37.44361
Benign,1034.jpg,224,224,1.0,139.79842,78.12005,156.54637,125.35934,137.48952,84.40052,69.69436,76.37515
Benign,1035.jpg,224,224,1.0,156.79128,44.36012,214.0462,124.2177,132.10995,13.150494,18.50471,20.97066
Benign,1036.jpg,224,224,1.0,200.55328,35.916924,218.29362,187.38367,195.98254,18.986563,33.911797,43.017742
Benign,1037.jpg,224,224,1.0,146.51366,50.188747,209.93625,121.04026,108.56449,16.540478,23.720554,24.678354
Benign,1038.jpg,224,224,1.0,153.06458,21.00308,166.80412,142.09138,150.29819,20.163292,18.029507,16.58093
Benign,1039.jpg,224,224,1.0,133.41539,55.6744,204.14214,95.43242,100.67159,17.517218,27.84462,26.450048
Benign,104.jpg,224,224,1.0,195.7067,37.260612,216.29364,178.15646,192.66998,14.070452,32.55851,46.53999
Benign,1040.jpg,224,224,1.0,160.30247,53.497707,218.31978,128.86992,133.71777,19.419691,35.208946,43.68593
Benign,1041.jpg,224,224,1.0,155.91711,42.02881,185.63008,149.72726,132.39403,29.877422,36.284595,40.193527
Benign,1042.jpg,224,224,1.0,136.95857,50.383648,184.67188,120.544624,105.65924,37.054943,37.837936,35.848743
Benign,1043.jpg,224,224,1.0,182.2606,46.216885,206.06558,172.60838,168.10783,26.752245,47.341576,50.901375
Benign,1044.jpg,224,224,1.0,162.31953,47.1776,213.29773,131.27689,142.384,20.91887,31.259304,36.09138
Benign,1045.jpg,224,224,1.0,162.06543,36.03866,207.30307,127.15334,151.73985,8.768697,13.686746,16.131382
Benign,1046.jpg,224,224,1.0,131.39494,26.399519,138.05089,119.80202,136.33192,22.614069,24.67893,27.699945
Benign,1047.jpg,224,224,1.0,135.04459,43.4509,163.18547,123.98173,117.966576,37.47928,38.34038,39.790787
Benign,1048.jpg,224,224,1.0,169.54645,40.697044,215.0259,136.82468,156.7888,22.12689,23.139894,25.33461
Benign,1049.jpg,224,224,1.0,150.62065,47.901722,213.56543,121.26022,117.036316,10.753796,18.015228,22.170813
Benign,105.jpg,224,224,1.0,176.9659,44.454033,237.97281,148.60756,144.3173,6.8531528,10.747128,13.1926775
Benign,1050.jpg,224,224,1.0,168.42033,36.193115,178.48053,155.13182,171.64864,32.443565,32.910847,38.805954
Benign,1051.jpg,224,224,1.0,175.5381,36.937008,220.93175,146.6214,159.0612,14.430892,17.213852,20.499111
Benign,1052.jpg,224,224,1.0,171.1759,40.004883,225.93579,140.66835,146.92357,6.2774096,9.797324,12.175673
Benign,1053.jpg,224,224,1.0,134.1608,48.667915,194.50163,92.81029,115.17048,12.2858305,23.321795,26.444984
Benign,1054.jpg,224,224,1.0,175.20009,21.912691,185.23215,168.44028,171.92786,12.611701,21.187187,25.990408
Benign,1055.jpg,224,224,1.0,162.49684,31.759449,177.62556,149.68713,160.1778,15.705843,29.663155,38.74361
Benign,1056.jpg,224,224,1.0,132.83023,56.349583,202.35048,100.6654,95.47483,17.549192,30.629946,31.88403
Benign,1057.jpg,224,224,1.0,194.38852,47.257774,233.35861,168.23587,181.57108,29.1252,41.96257,41.519165
Benign,1058.jpg,224,224,1.0,163.72232,33.775345,188.08554,142.921,160.16043,30.669828,24.545368,28.987232
Benign,1059.jpg,224,224,1.0,137.55096,56.648636,206.77596,110.17839,95.69858,29.948042,28.39891,25.11657
Benign,106.jpg,224,224,1.0,153.91718,44.931786,214.3414,120.98645,126.423645,10.087192,16.02827,14.370975
Benign,1060.jpg,224,224,1.0,160.98619,55.392666,227.2776,132.2567,123.424286,22.494217,32.374557,31.939146
Benign,1061.jpg,224,224,1.0,180.89345,39.179195,218.42175,153.72356,170.53503,22.16132,28.702541,32.18998
Benign,1062.jpg,224,224,1.0,127.121414,55.231888,193.54729,96.52142,91.29552,26.184078,32.211628,28.21769
Benign,1063.jpg,224,224,1.0,179.69464,19.042364,192.88348,165.8586,180.34181,12.326223,14.621201,18.876415
Benign,1064.jpg,224,224,1.0,108.33102,54.6353,134.41588,92.4607,98.11647,58.746452,47.375546,47.146965
Benign,1065.jpg,224,224,1.0,181.82576,44.688656,237.18768,154.60585,153.68375,11.642305,22.235855,27.629934
Benign,1066.jpg,224,224,1.0,136.75739,50.970936,199.9395,104.60794,105.72475,23.267189,25.039568,25.242352
Benign,1067.jpg,224,224,1.0,154.78397,47.643696,217.44223,125.80642,121.10323,12.211553,18.718784,20.251024
Benign,1068.jpg,224,224,1.0,189.70772,34.40151,233.4592,160.4591,175.20483,8.589876,13.085635,18.037855
Benign,1069.jpg,224,224,1.0,155.15915,49.221794,214.76791,128.36606,122.34345,16.221756,26.923357,30.535189
Benign,107.jpg,224,224,1.0,121.21413,49.20831,187.69167,85.79707,90.15364,12.8498125,14.505474,15.825961
Benign,1070.jpg,224,224,1.0,179.77336,49.15648,222.2716,157.33835,159.71011,30.898502,35.921883,47.875004
Benign,1071.jpg,224,224,1.0,156.41649,24.670177,177.54173,143.52377,148.18398,11.251159,17.359898,26.788544
Benign,1072.jpg,224,224,1.0,146.4761,35.812164,157.80002,137.2709,144.3574,23.208973,37.790478,40.78358
Benign,1073.jpg,224,224,1.0,158.94131,48.32974,207.45123,131.02623,138.34648,31.036295,35.538666,34.99188
Benign,1074.jpg,224,224,1.0,140.69756,22.946257,165.37257,120.59522,136.12488,10.284262,13.343247,16.183777
Benign,1075.jpg,224,224,1.0,165.71295,57.06244,202.72,144.79428,149.62459,60.265797,45.477028,44.746975
Benign,1076.jpg,224,224,1.0,157.83917,56.117115,207.67151,123.66195,142.18405,38.779884,42.66629,47.187626
Benign,1077.jpg,224,224,1.0,126.55474,57.566895,185.8188,100.7222,93.123245,34.728264,42.387527,40.52003
Benign,1078.jpg,224,224,1.0,165.7815,29.721315,182.0687,153.91275,161.363,27.402554,25.554638,28.643799
Benign,1079.jpg,224,224,1.0,159.88515,52.546337,205.62039,131.33386,142.70122,37.871536,41.31043,44.049652
Benign,108.jpg,224,224,1.0,170.43105,44.788067,225.18217,144.41747,141.6935,11.903864,23.545116,28.663565
Benign,1080.jpg,224,224,1.0,126.94594,26.41369,145.76941,116.778755,118.28964,17.868559,24.820107,25.001995
Benign,1081.jpg,224,224,1.0,154.43036,46.231884,214.50787,122.9712,125.81198,11.770188,20.005907,21.339855
Benign,1082.jpg,224,224,1.0,195.88235,58.74203,221.89429,182.40002,183.35272,40.40422,60.379223,63.705112
Benign,1083.jpg,224,224,1.0,144.39551,56.700302,187.02635,125.41299,120.74723,42.902573,51.375565,49.271976
Benign,1084.jpg,224,224,1.0,159.78436,45.270794,218.91968,124.40932,136.0241,10.186873,17.238794,20.84362
Benign,1085.jpg,224,224,1.0,175.65948,51.734882,232.65392,147.24194,147.08261,19.501373,34.2002,40.08712
Benign,1086.jpg,224,224,1.0,182.81,59.65925,193.86597,168.01862,186.54543,45.194717,59.035946,69.24522
Benign,1087.jpg,224,224,1.0,163.75029,53.276752,221.4936,126.87153,142.88574,22.822042,34.39934,41.00506
Benign,1088.jpg,224,224,1.0,169.84555,55.234245,218.01894,146.34122,145.1765,34.6473,46.579422,47.965572
Benign,1089.jpg,224,224,1.0,181.34772,44.027405,234.08847,153.93411,156.02058,16.671328,24.85255,27.296488
Benign,109.jpg,224,224,1.0,176.70227,48.250454,232.18524,147.16531,150.75626,17.184193,28.75711,35.18611
Benign,1090.jpg,224,224,1.0,168.0038,45.58418,221.51895,139.14569,143.34674,15.792791,26.380589,31.36513
Benign,1091.jpg,224,224,1.0,162.36214,48.03,221.83574,131.64734,133.60333,16.579586,24.215097,27.41919
Benign,1092.jpg,224,224,1.0,150.86392,21.353447,167.73627,133.74713,151.10834,11.069219,16.544445,19.847982
Benign,1093.jpg,224,224,1.0,132.60385,54.706493,184.44737,98.571884,114.792274,33.26344,41.744873,44.341103
Benign,1094.jpg,224,224,1.0,145.62495,28.699255,178.56076,128.9948,129.31927,15.831716,16.01115,18.350388
Benign,1095.jpg,224,224,1.0,164.99452,48.553272,222.09972,127.96586,144.91801,21.578306,26.383055,29.586834
Benign,1096.jpg,224,224,1.0,109.79067,58.774937,180.95555,68.906746,79.509705,23.904453,31.72331,33.657322
Benign,1097.jpg,224,224,1.0,142.415,53.275543,205.38208,111.23655,110.62637,25.529818,30.00925,31.859991
Benign,1098.jpg,224,224,1.0,132.47176,53.931248,188.74998,98.91743,109.74785,30.438057,37.414387,39.87379
Benign,1099.jpg,224,224,1.0,175.77705,44.065773,228.48561,134.60999,164.23553,13.267396,21.624636,23.99172
Benign,11.jpg,224,224,1.0,176.46115,51.993996,231.53284,144.86096,152.98965,22.664064,36.533916,40.98006
Benign,110.jpg,224,224,1.0,174.64622,43.915478,232.23677,145.8808,145.82109,12.322749,16.299194,19.82891
Benign,1100.jpg,224,224,1.0,157.83408,55.326836,218.01802,122.39034,133.09386,25.214706,36.946167,41.13311
Benign,1101.jpg,224,224,1.0,170.36684,46.894703,227.15347,138.4086,145.53847,13.387817,25.62326,29.984232
Benign,1102.jpg,224,224,1.0,142.29948,28.651949,155.93066,128.60854,142.35924,23.335793,22.922922,31.930056
Benign,1103.jpg,224,224,1.0,167.36333,39.09952,212.13495,153.63992,136.31516,17.180449,22.889776,24.706072
Benign,1104.jpg,224,224,1.0,164.15448,44.273285,210.68614,139.47922,142.2981,27.008127,30.008568,31.601448
Benign,1105.jpg,224,224,1.0,192.8694,41.999588,231.56018,177.73361,169.3144,23.263046,33.045258,37.11915
Benign,1106.jpg,224,224,1.0,168.07066,20.6268,182.27402,153.34615,168.59181,13.221406,17.408436,19.486332
Benign,1107.jpg,224,224,1.0,160.13504,29.556658,169.02448,152.84128,158.53937,28.453842,27.368227,30.452917
Benign,1108.jpg,224,224,1.0,139.37335,50.330173,205.75346,112.11075,100.25586,15.372358,18.880037,18.079458
Benign,1109.jpg,224,224,1.0,167.942,57.08836,223.3313,137.92142,142.5733,37.88664,42.44852,43.89975
Benign,111.jpg,224,224,1.0,141.6541,26.18352,155.41609,136.1623,133.3839,21.002726,23.339611,27.98087
Benign,1110.jpg,224,224,1.0,164.95284,48.74048,212.47437,138.08627,144.29784,32.135746,35.69314,37.59601
Benign,1111.jpg,224,224,1.0,156.42471,53.018436,221.04153,123.24155,124.99107,19.047749,27.857225,32.0857
Benign,1112.jpg,224,224,1.0,181.86417,39.624756,229.44093,149.8923,166.2593,12.441071,18.888567,25.875565
Benign,1113.jpg,224,224,1.0,167.123,54.16612,229.53563,139.88492,131.94846,24.294106,33.761013,34.603447
Benign,1114.jpg,224,224,1.0,171.75125,53.071182,230.00266,142.46829,142.78282,20.141817,35.642727,41.03252
Benign,1115.jpg,224,224,1.0,171.71054,36.62128,205.95168,164.90639,144.27357,12.171192,25.265509,35.571514
Benign,1116.jpg,224,224,1.0,132.51376,35.64169,173.63678,115.634026,108.27047,15.742243,18.909134,25.334782
Benign,1117.jpg,224,224,1.0,143.9328,24.576483,165.49579,134.57455,131.72806,17.69504,18.278826,21.524063
Benign,1118.jpg,224,224,1.0,124.279495,65.98042,174.20311,99.74079,98.89459,52.338074,59.380745,55.281044
Benign,1119.jpg,224,224,1.0,135.65013,52.246574,196.81238,96.16145,113.9766,18.148039,30.885681,33.70339
Benign,112.jpg,224,224,1.0,134.79251,61.69157,198.29068,103.89459,102.19228,28.988403,46.09789,49.017666
Benign,1120.jpg,224,224,1.0,152.87865,41.455284,204.12166,120.68708,133.8272,13.199064,20.01247,23.57555
Benign,1121.jpg,224,224,1.0,166.59688,48.729168,227.74097,137.6173,134.43242,16.751772,24.607462,24.989529
Benign,1122.jpg,224,224,1.0,155.3095,52.493546,207.16986,123.92881,134.82983,30.350363,37.594734,42.87829
Benign,1123.jpg,224,224,1.0,140.20499,52.288963,187.82042,112.29325,120.50131,36.12471,40.553814,42.6412
Benign,1124.jpg,224,224,1.0,175.91231,42.942368,205.72794,160.65543,161.35356,19.583633,32.083908,52.77825
Benign,1125.jpg,224,224,1.0,144.6781,22.017115,149.5938,137.10884,147.3317,17.340216,21.29267,24.732569
Benign,1126.jpg,224,224,1.0,186.01553,34.80184,218.15735,172.68462,167.20464,16.327955,26.722473,32.98716
Benign,1127.jpg,224,224,1.0,193.76996,40.574615,241.55952,165.69624,174.05411,11.477095,22.938246,28.641226
Benign,1128.jpg,224,224,1.0,163.84378,50.734104,225.50085,128.52196,137.50851,14.596623,26.325191,32.75666
Benign,1129.jpg,224,224,1.0,149.30289,26.840014,165.9507,131.13528,150.82271,19.452534,22.956413,25.421244
Benign,113.jpg,224,224,1.0,135.13095,36.55924,165.01047,118.16666,122.21576,21.031605,30.985678,35.49534
Benign,1130.jpg,224,224,1.0,137.44403,49.87757,186.92873,103.072105,122.33125,23.255417,36.257923,41.824696
Benign,1131.jpg,224,224,1.0,152.05412,51.002598,212.92639,120.71578,122.52019,20.759605,28.64543,31.50388
Benign,1132.jpg,224,224,1.0,159.08522,55.922955,219.5387,126.0449,131.67207,28.43282,37.17344,41.159122
Benign,1133.jpg,224,224,1.0,176.77502,26.590483,192.4081,173.80708,164.1099,16.30402,24.438519,29.060139
Benign,1134.jpg,224,224,1.0,171.44093,42.17287,220.37221,147.14543,146.80516,16.420343,28.249008,26.010704
Benign,1135.jpg,224,224,1.0,169.0042,58.132523,229.94472,139.06894,137.99892,25.92747,42.92665,45.29951
Benign,1136.jpg,224,224,1.0,164.96387,50.594563,228.14748,137.78488,128.95926,12.737628,24.615881,29.732838
Benign,1137.jpg,224,224,1.0,217.55074,48.799984,241.48608,188.87827,222.28783,34.554955,38.409878,55.29467
Benign,1138.jpg,224,224,1.0,133.26132,55.892693,195.53557,104.87369,99.37472,27.919863,38.069263,36.207043
Benign,1139.jpg,224,224,1.0,183.68102,45.029793,233.20918,156.99603,160.83784,28.453104,27.646763,28.673786
Benign,114.jpg,224,224,1.0,163.6728,34.30309,179.96371,146.68045,164.37428,24.529951,32.440907,36.350365
Benign,1140.jpg,224,224,1.0,180.92459,46.456795,230.25092,147.7005,164.82237,20.45655,29.972456,36.90087
Benign,1141.jpg,224,224,1.0,166.31056,47.034245,209.40929,143.80013,145.72229,33.926666,37.73634,35.686337
Benign,1142.jpg,224,224,1.0,127.02958,59.648716,194.69218,99.16097,87.23555,24.396885,39.846157,39.402195
Benign,1143.jpg,224,224,1.0,162.55139,52.576393,229.30064,131.93439,126.41917,13.35372,24.455791,28.601093
Benign,1144.jpg,224,224,1.0,126.79224,62.7847,182.13165,98.50753,99.737526,39.686287,53.021065,53.33936
Benign,1145.jpg,224,224,1.0,151.79305,17.23232,168.59715,150.12901,136.653,9.24491,10.694196,13.291217
Benign,1146.jpg,224,224,1.0,165.82462,50.461033,222.17459,128.38383,146.91542,21.670197,30.830643,35.83478
Benign,1147.jpg,224,224,1.0,169.8577,50.572197,190.6561,154.79907,164.11795,38.47956,46.523743,57.751415
Benign,1148.jpg,224,224,1.0,148.69589,45.16881,201.80247,127.14208,117.14312,20.756626,26.452654,26.638899
Benign,1149.jpg,224,224,1.0,170.38948,47.134018,227.68652,136.61522,146.86668,18.1267,24.807732,27.274014
Benign,115.jpg,224,224,1.0,141.76544,53.67801,187.1134,110.90948,127.27344,38.966385,44.135044,44.262375
Benign,1150.jpg,224,224,1.0,128.38687,58.323196,203.84087,84.30997,97.00979,15.06338,26.20664,25.893888
Benign,1151.jpg,224,224,1.0,163.35522,57.514954,202.2504,141.28326,146.53204,60.535374,44.971554,44.20308
Benign,1152.jpg,224,224,1.0,187.1835,47.338715,243.72163,159.89159,157.93729,7.0182304,26.775724,34.057526
Benign,1153.jpg,224,224,1.0,141.2252,49.816193,188.77695,111.32841,123.57025,29.154934,37.189735,41.77545
Benign,1154.jpg,224,224,1.0,123.550835,49.196194,172.64813,100.26381,97.74057,34.01427,33.271458,37.1192
Benign,1155.jpg,224,224,1.0,170.7778,48.259773,225.70271,141.55905,145.07161,20.671879,29.521952,34.012577
Benign,1156.jpg,224,224,1.0,200.26215,34.611862,245.70328,179.08354,175.9996,4.758021,12.643389,17.58829
Benign,1157.jpg,224,224,1.0,165.07504,47.483383,220.37808,134.13013,140.71693,14.472117,30.789024,31.579678
Benign,1158.jpg,224,224,1.0,145.99155,29.560894,176.56577,131.28888,130.11998,21.644112,18.429382,20.262558
Benign,1159.jpg,224,224,1.0,127.96657,70.338326,186.95616,99.135506,97.80805,53.92739,58.706806,57.159874
Benign,116.jpg,224,224,1.0,163.05913,47.44713,219.06142,141.3637,128.75226,14.888875,26.942747,31.971703
Benign,1160.jpg,224,224,1.0,162.03973,46.116398,217.12978,139.91205,129.07736,20.735514,25.640997,26.108973
Benign,1161.jpg,224,224,1.0,139.18912,51.965275,148.93774,130.39279,138.23683,43.41751,55.12166,54.812172
Benign,1162.jpg,224,224,1.0,180.42249,38.931118,186.92203,165.93445,188.41098,31.228765,37.559223,42.953484
Benign,1163.jpg,224,224,1.0,152.16458,44.03332,190.97313,130.59929,134.92131,22.818905,36.105186,41.521286
Benign,1164.jpg,224,224,1.0,170.62135,41.85996,224.19644,138.51357,149.15404,11.091043,17.309845,21.727404
Benign,1165.jpg,224,224,1.0,147.22693,52.831223,201.87852,124.46355,115.338745,33.17121,39.332767,34.701492
Benign,1166.jpg,224,224,1.0,159.3088,34.578945,197.9448,135.87605,144.10555,19.762363,20.311655,22.605831
Benign,1167.jpg,224,224,1.0,155.2147,51.94051,215.48119,125.70875,124.45422,21.207659,32.45478,33.7863
Benign,1168.jpg,224,224,1.0,184.99501,39.992886,233.05128,158.3589,163.57481,12.797934,20.826935,26.889261
Benign,1169.jpg,224,224,1.0,170.34363,32.29494,193.45097,161.6812,155.89871,28.204346,26.414398,28.601423
Benign,117.jpg,224,224,1.0,183.73453,18.871511,197.6192,167.5452,186.0392,11.133484,14.153604,16.850313
Benign,1170.jpg,224,224,1.0,189.09668,22.03728,201.08502,177.47154,188.73347,16.54741,19.204319,23.136686
Benign,1171.jpg,224,224,1.0,143.85175,30.501017,159.26819,134.92192,137.36513,28.029613,26.860092,30.402758
Benign,1172.jpg,224,224,1.0,160.87442,25.960062,171.30074,150.88612,160.4364,17.413044,24.94345,29.79461
Benign,1173.jpg,224,224,1.0,147.88583,24.507023,165.49817,135.89108,142.26823,15.101917,20.434376,25.894503
Benign,1174.jpg,224,224,1.0,138.78993,47.329384,171.6438,123.56957,121.15643,41.980576,35.9578,45.19849
Benign,1175.jpg,224,224,1.0,153.66968,43.437202,205.80263,127.89951,127.3069,18.10489,24.325022,25.76693
Benign,1176.jpg,224,224,1.0,180.09938,39.24611,196.10762,172.55502,171.63553,25.333471,35.427563,48.363792
Benign,1177.jpg,224,224,1.0,160.01212,51.99072,216.44786,131.95007,131.6384,31.546234,33.719902,34.63188
Benign,1178.jpg,224,224,1.0,124.49919,60.736557,176.7921,97.71122,98.99426,47.456795,48.894875,48.179737
Benign,1179.jpg,224,224,1.0,139.49287,44.59412,168.14865,127.96801,122.361946,45.31239,34.97952,37.969486
Benign,118.jpg,224,224,1.0,167.12773,49.35054,224.7049,142.42311,134.25522,20.75451,29.843845,31.288525
Benign,1180.jpg,224,224,1.0,156.39345,51.412933,215.08572,123.426,130.66864,16.91261,32.63103,37.224277
Benign,1181.jpg,224,224,1.0,170.82204,49.81185,226.58049,141.44499,144.44064,24.424515,31.926067,34.05638
Benign,1182.jpg,224,224,1.0,153.07709,43.013767,208.72131,124.96168,125.54827,15.718973,17.442245,18.831919
Benign,1183.jpg,224,224,1.0,152.78552,48.495186,200.0332,128.24275,130.08066,27.171623,38.087776,38.938038
Benign,1184.jpg,224,224,1.0,179.57849,21.58457,191.41095,168.28139,179.04317,12.974863,17.522062,25.581104
Benign,1185.jpg,224,224,1.0,135.65508,41.15583,179.41905,105.943954,121.60224,25.04604,26.400116,27.597433
Benign,1186.jpg,224,224,1.0,168.27974,43.573864,224.21179,145.52449,135.10294,11.640529,18.323708,21.860666
Benign,1187.jpg,224,224,1.0,172.54015,47.064335,228.07265,145.12994,144.41785,21.007751,25.681414,30.30268
Benign,1188.jpg,224,224,1.0,160.20235,50.75747,215.24063,122.48523,142.8812,23.492516,32.33606,37.14333
Benign,1189.jpg,224,224,1.0,173.73215,26.425947,189.35933,166.08871,165.74838,15.955408,25.325163,28.856224
Benign,119.jpg,224,224,1.0,151.34189,35.27327,158.77798,131.35509,163.89262,22.486097,29.512434,41.757793
Benign,1190.jpg,224,224,1.0,145.2876,38.21742,172.04065,134.7808,129.04132,25.611614,34.48381,38.033733
Benign,1191.jpg,224,224,1.0,168.63808,55.32609,225.30301,136.82063,143.7906,34.452976,38.781475,40.635666
Benign,1192.jpg,224,224,1.0,151.27477,62.099445,210.95314,121.52846,121.34271,34.569885,48.477497,51.78416
Benign,1193.jpg,224,224,1.0,139.49617,26.529345,156.7839,129.4081,132.29651,23.301582,22.081425,25.067822
Benign,1194.jpg,224,224,1.0,139.26485,50.336086,197.58035,103.38757,116.82659,23.076014,30.025513,31.237455
Benign,1195.jpg,224,224,1.0,173.3339,49.63721,231.77678,143.71127,144.51363,17.195835,27.870728,34.574623
Benign,1196.jpg,224,224,1.0,125.950226,50.736988,191.71469,98.913506,87.22247,20.203474,20.239338,18.684954
Benign,1197.jpg,224,224,1.0,150.35281,56.345325,216.10747,115.52527,119.42572,18.826427,33.415874,39.49956
Benign,1198.jpg,224,224,1.0,170.4199,35.40404,204.63463,151.1004,155.52472,10.417874,26.650675,34.2898
Benign,1199.jpg,224,224,1.0,169.9495,54.26438,227.28275,138.24733,144.31842,20.026096,37.09962,45.906017
Benign,12.jpg,224,224,1.0,169.48436,50.927216,210.76868,156.18808,141.49634,36.227398,41.356117,45.754517
Benign,120.jpg,224,224,1.0,135.23001,62.79424,192.17336,101.220085,112.29659,38.897083,50.87933,52.938644
Benign,1200.jpg,224,224,1.0,165.10767,51.98893,219.29724,132.76128,143.26447,25.463106,37.26222,40.146984
Benign,1201.jpg,224,224,1.0,178.60098,52.778,217.44615,156.5263,161.83046,46.885162,41.83284,46.161205
Benign,1202.jpg,224,224,1.0,151.91582,19.368916,163.92644,145.21817,146.60284,12.356703,17.44489,21.239378
Benign,1203.jpg,224,224,1.0,176.69316,21.46397,185.33945,171.90099,172.83907,12.556496,20.7573,26.095934
Benign,1204.jpg,224,224,1.0,138.59253,45.392067,185.57515,98.852936,131.34949,21.777142,28.326084,32.644203
Benign,1205.jpg,224,224,1.0,133.64923,51.42022,186.2851,106.461494,108.20111,30.956533,36.640545,38.392277
Benign,1206.jpg,224,224,1.0,160.69348,41.960922,211.00475,127.454,143.62169,12.785676,23.25841,25.498983
Benign,1207.jpg,224,224,1.0,152.23672,57.03884,211.0636,120.89326,124.75333,24.667942,41.04376,47.63234
Benign,1208.jpg,224,224,1.0,156.4537,46.114548,213.5283,118.19236,137.64049,13.177981,23.537024,24.01304
Benign,1209.jpg,224,224,1.0,163.42499,44.534473,210.3686,139.21887,140.68745,24.443476,30.964945,32.969868
